FirstName1 LastName1  Full 104076.55
FirstName2 LastName2  Assistant 72047.51
FirstName3 LastName3  Associate 77922.70
FirstName4 LastName4  Assistant 61500.07
FirstName5 LastName5  Assistant 75561.20
FirstName6 LastName6  Assistant 74572.17
FirstName7 LastName7  Associate 99519.63
FirstName8 LastName8  Assistant 72073.51
FirstName9 LastName9  Full 99991.75
FirstName10 LastName10  Full 117332.02
FirstName11 LastName11  Assistant 68793.22
FirstName12 LastName12  Associate 95176.23
FirstName13 LastName13  Assistant 51996.09
FirstName14 LastName14  Full 115796.21
FirstName15 LastName15  Full 121955.02
FirstName16 LastName16  Full 88191.37
FirstName17 LastName17  Associate 96301.17
FirstName18 LastName18  Associate 92765.10
FirstName19 LastName19  Assistant 74836.24
FirstName20 LastName20  Associate 105102.07
FirstName21 LastName21  Assistant 52350.62
FirstName22 LastName22  Assistant 72111.26
FirstName23 LastName23  Full 114135.25
FirstName24 LastName24  Assistant 58547.57
FirstName25 LastName25  Full 97403.43
FirstName26 LastName26  Assistant 59464.03
FirstName27 LastName27  Assistant 74954.55
FirstName28 LastName28  Full 98575.66
FirstName29 LastName29  Associate 76782.66
FirstName30 LastName30  Assistant 76206.40
FirstName31 LastName31  Full 76210.97
FirstName32 LastName32  Full 93121.49
FirstName33 LastName33  Full 96315.65
FirstName34 LastName34  Assistant 68369.93
FirstName35 LastName35  Full 89600.51
FirstName36 LastName36  Assistant 77979.11
FirstName37 LastName37  Associate 102735.50
FirstName38 LastName38  Full 76659.71
FirstName39 LastName39  Full 86350.15
FirstName40 LastName40  Full 87972.95
FirstName41 LastName41  Full 111119.41
FirstName42 LastName42  Assistant 58124.67
FirstName43 LastName43  Full 93991.40
FirstName44 LastName44  Assistant 61498.33
FirstName45 LastName45  Associate 66892.87
FirstName46 LastName46  Full 88443.36
FirstName47 LastName47  Associate 109250.54
FirstName48 LastName48  Full 123247.17
FirstName49 LastName49  Full 129517.89
FirstName50 LastName50  Associate 98788.34
FirstName51 LastName51  Full 88376.40
FirstName52 LastName52  Associate 74418.05
FirstName53 LastName53  Full 116346.48
FirstName54 LastName54  Associate 74150.11
FirstName55 LastName55  Assistant 70966.15
FirstName56 LastName56  Associate 64601.09
FirstName57 LastName57  Full 105230.94
FirstName58 LastName58  Assistant 72242.46
FirstName59 LastName59  Assistant 64639.77
FirstName60 LastName60  Associate 85498.38
FirstName61 LastName61  Assistant 51965.58
FirstName62 LastName62  Full 126451.09
FirstName63 LastName63  Full 125374.51
FirstName64 LastName64  Full 101759.61
FirstName65 LastName65  Full 123321.98
FirstName66 LastName66  Assistant 57614.08
FirstName67 LastName67  Assistant 77055.52
FirstName68 LastName68  Full 84795.56
FirstName69 LastName69  Assistant 69481.92
FirstName70 LastName70  Full 104167.36
FirstName71 LastName71  Full 120248.24
FirstName72 LastName72  Full 107152.02
FirstName73 LastName73  Assistant 74859.71
FirstName74 LastName74  Full 112719.27
FirstName75 LastName75  Full 106465.00
FirstName76 LastName76  Assistant 56060.51
FirstName77 LastName77  Assistant 74995.57
FirstName78 LastName78  Associate 68689.94
FirstName79 LastName79  Assistant 77038.31
FirstName80 LastName80  Full 120386.45
FirstName81 LastName81  Full 123442.30
FirstName82 LastName82  Associate 84231.11
FirstName83 LastName83  Full 94695.93
FirstName84 LastName84  Full 123348.85
FirstName85 LastName85  Assistant 77754.96
FirstName86 LastName86  Associate 70569.46
FirstName87 LastName87  Associate 79548.40
FirstName88 LastName88  Full 124935.17
FirstName89 LastName89  Full 96036.93
FirstName90 LastName90  Assistant 62965.30
FirstName91 LastName91  Assistant 62998.02
FirstName92 LastName92  Associate 65064.36
FirstName93 LastName93  Full 107502.47
FirstName94 LastName94  Full 97652.38
FirstName95 LastName95  Associate 61783.28
FirstName96 LastName96  Assistant 79567.08
FirstName97 LastName97  Full 85698.17
FirstName98 LastName98  Assistant 76340.02
FirstName99 LastName99  Full 94916.31
FirstName100 LastName100  Assistant 69791.33
FirstName101 LastName101  Full 124098.42
FirstName102 LastName102  Assistant 61222.44
FirstName103 LastName103  Full 108876.93
FirstName104 LastName104  Full 86268.98
FirstName105 LastName105  Associate 72367.04
FirstName106 LastName106  Assistant 63344.07
FirstName107 LastName107  Full 86703.03
FirstName108 LastName108  Full 83033.68
FirstName109 LastName109  Associate 84408.41
FirstName110 LastName110  Assistant 69692.94
FirstName111 LastName111  Full 117156.94
FirstName112 LastName112  Assistant 52845.47
FirstName113 LastName113  Assistant 65243.87
FirstName114 LastName114  Assistant 71205.60
FirstName115 LastName115  Associate 70220.45
FirstName116 LastName116  Full 127392.06
FirstName117 LastName117  Assistant 64709.28
FirstName118 LastName118  Assistant 53865.62
FirstName119 LastName119  Associate 88936.27
FirstName120 LastName120  Assistant 59069.64
FirstName121 LastName121  Associate 102881.37
FirstName122 LastName122  Full 93738.78
FirstName123 LastName123  Associate 79490.70
FirstName124 LastName124  Assistant 76067.95
FirstName125 LastName125  Assistant 64601.00
FirstName126 LastName126  Full 77623.27
FirstName127 LastName127  Assistant 64655.57
FirstName128 LastName128  Full 84664.00
FirstName129 LastName129  Assistant 61321.48
FirstName130 LastName130  Full 88692.04
FirstName131 LastName131  Associate 103665.01
FirstName132 LastName132  Associate 98860.49
FirstName133 LastName133  Associate 70966.37
FirstName134 LastName134  Assistant 60589.66
FirstName135 LastName135  Associate 107451.67
FirstName136 LastName136  Associate 94808.68
FirstName137 LastName137  Full 105085.14
FirstName138 LastName138  Full 83595.20
FirstName139 LastName139  Full 78496.74
FirstName140 LastName140  Associate 107224.93
FirstName141 LastName141  Associate 81224.01
FirstName142 LastName142  Full 112868.30
FirstName143 LastName143  Assistant 61663.70
FirstName144 LastName144  Full 89099.52
FirstName145 LastName145  Assistant 75548.66
FirstName146 LastName146  Assistant 55353.89
FirstName147 LastName147  Associate 83099.77
FirstName148 LastName148  Associate 80644.71
FirstName149 LastName149  Full 93298.26
FirstName150 LastName150  Assistant 69337.43
FirstName151 LastName151  Associate 107744.39
FirstName152 LastName152  Associate 99350.66
FirstName153 LastName153  Associate 74970.87
FirstName154 LastName154  Assistant 75915.94
FirstName155 LastName155  Assistant 64569.81
FirstName156 LastName156  Full 129310.77
FirstName157 LastName157  Full 93096.59
FirstName158 LastName158  Assistant 71699.21
FirstName159 LastName159  Associate 87063.92
FirstName160 LastName160  Assistant 71931.17
FirstName161 LastName161  Full 94226.85
FirstName162 LastName162  Associate 70376.46
FirstName163 LastName163  Assistant 74779.05
FirstName164 LastName164  Full 92688.47
FirstName165 LastName165  Full 90034.34
FirstName166 LastName166  Full 103967.30
FirstName167 LastName167  Assistant 68071.42
FirstName168 LastName168  Full 95092.80
FirstName169 LastName169  Full 116251.48
FirstName170 LastName170  Associate 66913.09
FirstName171 LastName171  Associate 102106.40
FirstName172 LastName172  Full 108016.97
FirstName173 LastName173  Full 128948.48
FirstName174 LastName174  Assistant 70018.21
FirstName175 LastName175  Full 88838.52
FirstName176 LastName176  Assistant 79109.56
FirstName177 LastName177  Associate 99278.53
FirstName178 LastName178  Assistant 79337.80
FirstName179 LastName179  Assistant 64699.83
FirstName180 LastName180  Associate 76040.82
FirstName181 LastName181  Full 94952.22
FirstName182 LastName182  Full 124579.91
FirstName183 LastName183  Assistant 54360.63
FirstName184 LastName184  Full 94079.28
FirstName185 LastName185  Full 98988.14
FirstName186 LastName186  Full 95546.57
FirstName187 LastName187  Full 90721.89
FirstName188 LastName188  Assistant 70136.12
FirstName189 LastName189  Associate 96351.79
FirstName190 LastName190  Associate 109275.25
FirstName191 LastName191  Associate 92591.12
FirstName192 LastName192  Full 84980.35
FirstName193 LastName193  Associate 107261.99
FirstName194 LastName194  Full 86138.45
FirstName195 LastName195  Assistant 74167.72
FirstName196 LastName196  Full 75348.02
FirstName197 LastName197  Assistant 72182.45
FirstName198 LastName198  Full 116479.59
FirstName199 LastName199  Full 119286.71
FirstName200 LastName200  Full 116697.15
FirstName201 LastName201  Associate 74915.57
FirstName202 LastName202  Associate 107477.77
FirstName203 LastName203  Assistant 56561.82
FirstName204 LastName204  Associate 106090.66
FirstName205 LastName205  Assistant 66335.59
FirstName206 LastName206  Associate 106102.25
FirstName207 LastName207  Associate 87251.40
FirstName208 LastName208  Assistant 65566.81
FirstName209 LastName209  Associate 65583.15
FirstName210 LastName210  Full 78142.56
FirstName211 LastName211  Assistant 60741.07
FirstName212 LastName212  Assistant 62755.88
FirstName213 LastName213  Full 105094.21
FirstName214 LastName214  Associate 65370.32
FirstName215 LastName215  Assistant 72215.69
FirstName216 LastName216  Assistant 79142.36
FirstName217 LastName217  Associate 81558.97
